zone,circle,division,substation,feeder,input_energy_kwh,sold_energy_kwh,net_assessment,revenue_realized,consumers,billed_consumers,paid_consumers,smart_meter_consumers,total_outstanding_amount,billing_efficiency_pct,collection_efficiency_pct,atc_loss_pct,line_loss_pct
AGRA,EDC AGRA,"EDD SIKANDARA, AGRA",,,50.327,37.81584,2813.927453,2796.510846,84137,79741,31855,21874,3647447744,,,,
AGRA,EDC AGRA,"EDD LAKHANPUR, AGRA",,,29.705,22.317631,1579.015429,1539.375903,60354,57850,29308,15645,567217858.3,,,,
AGRA,EDC AGRA,"EDD KIRAWALI, AGRA",,,26.58,19.671773,1068.677801,803.198437,62629,60018,26474,30596,1759633013,,,,
AGRA,EDC AGRA,EDD KHAIRAGARH,,,23.768,17.588175,809.932483,626.545802,57840,55860,23078,27178,1211594618,,,,
AGRA,EDC FATEHABAD,EDD BAH,,,29.23,24.233089,1177.85376,1067.758334,68053,63593,18473,26416,12057400540,,,,
AGRA,EDC FATEHABAD,EDD ETMADPUR,,,35.98,26.722297,1574.204319,1445.459017,65788,60473,20343,34544,2887572843,,,,
AGRA,EDC FATEHABAD,"EDD FATEHABAD, AGRA",,,51.57,40.03996,1942.738343,1347.338571,74556,67180,19000,22704,3726780012,,,,
ALIGARH,EDC I ALIGARH,"EDD SARSOL, ALIGARH",,,28.397,25.636559,1458.09277,1323.951445,71678,69925,22655,12339,1820531907,,,,
ALIGARH,EDC I ALIGARH,"EDD ATRAULI, ALIGARH",,,23.606,22.793197,1094.651164,1088.02315,101818,98692,42134,50828,4547043750,,,,
ALIGARH,EDC I ALIGARH,"EDD TALANAGRI, ALIGARH",,,28.002,25.343268,1573.509409,1638.966251,77536,74074,39271,42495,1561052617,,,,
ALIGARH,EDC II ALIGARH,"EDD IGLAS, ALIGARH",,,32.115,29.401535,1352.298201,1014.546587,73835,71590,18778,17616,2197933015,,,,
ALIGARH,EDC II ALIGARH,"EDD KHAIR, ALIGARH",,,33.421,30.691976,789.336853,725.309947,81928,79680,22165,14336,2210183181,,,,
ALIGARH,EDC II ALIGARH,"EDD AKRABAD, ALIGARH",,,25.29,20.359634,787.450083,529.917066,75686,72979,22465,22726,2242390579,,,,
ALIGARH,EUDC ALIGARH,EUDD I ALIGARH,,,27.124,20.934321,1694.152033,1871.432012,76288,73009,61672,55864,596212203,,,,
ALIGARH,EUDC ALIGARH,EUDD II ALIGARH,,,22.519,17.57634,1301.852264,1760.767333,72062,69743,58516,48626,356405651.4,,,,
ALIGARH,EUDC ALIGARH,EUDD III ALIGARH,,,25.435,19.014454,1582.774383,2093.043922,73187,71493,60691,61206,535830819.5,,,,
ALIGARH,EUDC ALIGARH,EUDD IV ALIGARH,,,24.624,18.492483,1415.17337,1842.440061,58707,57101,48743,33875,1608522505,,,,
BANDA,EDC BANDA,EDD ATARRA,,,25.201,19.658651,850.529005,631.451284,122834,119578,19312,13243,3853179858,,,,
BANDA,EDC BANDA,"EDD BABERU, BANDA",,,23.674,22.205101,1045.861103,582.954298,130343,123657,12949,9645,7633064448,,,,
BANDA,EDC BANDA,EUDD BANDA,,,23.704,20.244897,1251.013565,1125.834707,72512,69707,32627,26148,2886060866,,,,
BANDA,EDC CHITRAKOOT,EDD CHITRAKOOT DHAM,,,22.101,19.899269,1131.640685,1138.125788,96211,91886,25854,23064,89830301972,,,,
BANDA,EDC CHITRAKOOT,"EDD RAJAPUR, CHITRAKOOT",,,17.727,14.729125,520.687079,153.235996,92400,89148,8220,3431,3237264328,,,,
BANDA,EDC HAMIRPUR,EDD HAMIRPUR,,,32.137,29.174833,1549.047961,1409.127558,132758,127416,32333,26395,7534596730,,,,
BANDA,EDC HAMIRPUR,EDD RATH,,,25.575,21.485574,638.380247,481.025673,88702,81680,17767,10615,3125880632,,,,
BANDA,EDC MAHOBA,EDD I MAHOBA,,,17.747,12.828783,840.977325,731.944284,62417,58517,22334,20986,2283181397,,,,
BANDA,EDC MAHOBA,"EDD KULPAHAR, MAHOBA",,,31.797,26.25104,1388.902611,973.627527,90260,82146,10641,21375,5723617072,,,,
ETAH,EDC ETAH,"EDD PILUWA, ETAH",,,36.135,30.104345,905.585259,545.824983,119431,110263,23102,41317,3247586051,,,,
ETAH,EDC ETAH,"EDD JALESAR, ETAH",,,36.927,25.710016,916.83934,1261.95115,119316,109905,33656,56588,2512339026,,,,
ETAH,EDC ETAH,EUDD ETAH,,,14.375,11.212659,943.427162,1060.659043,39377,38202,32078,29266,297127072.7,,,,
ETAH,EDC HATHRAS,EDD I HATHRAS,,,17.348,13.396948,1223.411162,1345.829035,43655,42086,35772,33611,304482852.1,,,,
ETAH,EDC HATHRAS,"EDD ODHPURA, HATHRAS",,,30.485,22.455372,1020.29254,948.668306,65178,61145,23199,33346,1603652909,,,,
ETAH,EDC HATHRAS,"EDD SASNI, HATHRAS",,,42.948,35.076549,1941.803787,2044.377019,108297,100393,39999,57585,2562095022,,,,
ETAH,EDC HATHRAS,"EDD SADABAD, HATHRAS",,,33.425,26.556777,1468.348088,1240.984089,62669,58043,19372,25676,2429636065,,,,
ETAH,EDC KASGANJ,EDD KASGANJ,,,23.603,19.727521,1107.407142,1385.984199,86433,83584,47273,69645,1244136969,,,,
ETAH,EDC KASGANJ,"EDD SORON, KASGANJ",,,30.802,24.99071,1090.028039,1328.978914,152992,146039,55205,94824,2446448271,,,,
FIROZABAD,EDC FIROZABAD,EDD FIROZABAD,,,33.797,24.050729,1240.728862,1220.382779,69562,64540,12356,5897,2585782106,,,,
FIROZABAD,EDC FIROZABAD,EDD JASRANA,,,20.887,17.905886,683.339375,480.492251,73084,69486,7359,7723,4765036722,,,,
FIROZABAD,EDC FIROZABAD,EDD SHIKOHABAD,,,29.5,23.145586,1714.134907,1312.073188,56866,53385,26008,31067,2884126017,,,,
FIROZABAD,EDC FIROZABAD,EDD SHIRSAGANJ,,,26.802,23.055006,1190.578273,815.227642,60511,58700,14803,14985,4904538307,,,,
FIROZABAD,EDC FIROZABAD,EDD TUNDLA,,,27.037,18.207641,1061.614974,1067.092294,64308,62463,26362,31996,2574453636,,,,
FIROZABAD,EDC MAINPURI,"EDD BHOGAON, MAINPURI",,,41.321,33.216411,1500.463864,836.639389,134286,129517,31063,51131,4246215891,,,,
FIROZABAD,EDC MAINPURI,"EDD KARHAL, MAINPURI",,,36.691,30.207265,1406.994464,1028.715787,129319,123329,40555,75457,2925437372,,,,
FIROZABAD,EDC MAINPURI,EDD I MAINPURI,,,18.362,12.970643,1082.566493,1723.744762,47499,46142,35466,37386,330779896,,,,
#N/A,EUDC  FIROZABAD,"EUDD ASFABAD, FIROZABAD",,,18.093,13.599523,1170.868112,1544.840116,59212,57584,47645,45882,632602420.6,,,,
#N/A,EUDC  FIROZABAD,"EUDD CHANDRA NAGAR, FIROZABAD",,,28.166,22.619121,2028.750208,2211.394929,59740,58325,49499,45735,696711623.6,,,,
JHANSI,EDC JHANSI,EDD II JHANSI,,,45.689,34.353622,1872.402684,1351.556823,96669,93801,24047,18153,6023974519,,,,
JHANSI,EDC JHANSI,EDD MAURANIPUR,,,38.599,26.256365,977.53568,708.746953,109381,105028,23512,30903,5271368498,,,,
JHANSI,EDC LALITPUR,EDD I LALITPUR,,,23.315,16.921913,1187.410544,1227.540464,83414,80374,28662,25029,2660290760,,,,
JHANSI,EDC LALITPUR,"EDD MAHRAUNI, LALITPUR",,,32.913,20.554562,991.83289,895.88217,83832,79469,12242,16823,6617226435,,,,
JHANSI,EDC ORAI,EDD I ORAI,,,59.019,42.769486,2668.037497,2202.722087,132908,129022,43267,27922,5787484162,,,,
JHANSI,EDC ORAI,EDD II ORAI,,,48.184,40.259585,1992.669458,1875.034801,147457,143554,32552,29891,7523215114,,,,
JHANSI,EUDC JHANSI,EUDD I JHANSI,,,32.451,24.429156,1966.790796,2180.427896,72314,69958,57317,44057,760518880.6,,,,
JHANSI,EUDC JHANSI,EUDD II JHANSI,,,31.909,23.792333,1945.249114,2091.645147,76743,73638,59431,47852,1357494850,,,,
KANPUR I,EDC KANPUR,EDD II CHAUBEYPUR,,,37.192,31.328298,2279.261344,1864.492671,106446,104321,28940,6843,1505133253,,,,
KANPUR I,EDC KANPUR,EDD GHATAMPUR,,,15.477,14.188216,616.769403,448.614235,85043,80888,20126,11176,7205303782,,,,
